Date,Close/Last,Volume,Open,High,Low
01/27/2023,$1.92,28852690,$1.78,$1.93,$1.75
01/26/2023,$1.79,10818630,$1.79,$1.81,$1.75
01/25/2023,$1.75,17529190,$1.66,$1.8,$1.63
01/24/2023,$1.7,19068560,$1.75,$1.92,$1.69
01/23/2023,$1.83,25962100,$1.75,$1.9,$1.72
01/20/2023,$1.74,21731060,$1.6,$1.78,$1.56
01/19/2023,$1.58,21457780,$1.57,$1.71,$1.53
01/18/2023,$1.61,29814560,$1.77,$1.845,$1.56
01/17/2023,$1.7,41171390,$1.57,$1.79,$1.53
01/13/2023,$1.52,21634710,$1.515,$1.59,$1.46
01/12/2023,$1.56,33151000,$1.45,$1.66,$1.405
01/11/2023,$1.42,37666200,$1.45,$1.57,$1.38
01/10/2023,$1.39,15068080,$1.37,$1.45,$1.35
01/09/2023,$1.39,15029340,$1.4,$1.46,$1.36
01/06/2023,$1.36,14788840,$1.33,$1.41,$1.33
01/05/2023,$1.35,17784170,$1.29,$1.42,$1.26
01/04/2023,$1.33,18978330,$1.21,$1.37,$1.2002
01/03/2023,$1.2,25249790,$1.41,$1.46,$1.17
12/30/2022,$1.41,20636760,$1.42,$1.46,$1.33
12/29/2022,$1.47,30857620,$1.4,$1.59,$1.35
12/28/2022,$1.45,53759230,$1.7,$1.85,$1.4
12/27/2022,$1.91,82169500,$2.06,$2.06,$1.69
12/23/2022,$1.73,149791800,$1.69,$1.9,$1.51
12/22/2022,$1.2,180271200,$1.23,$1.38,$1.03
12/21/2022,$0.685,8337470,$0.6994,$0.7199,$0.675
12/20/2022,$0.6743,7254474,$0.6845,$0.719,$0.6585
12/19/2022,$0.6726,12141400,$0.74,$0.74,$0.65
12/16/2022,$0.7297,19173430,$0.825,$0.84,$0.7203
12/15/2022,$0.8111,10549260,$0.869,$0.8738,$0.8102
12/14/2022,$0.8852,10998760,$0.8727,$0.9187,$0.865
12/13/2022,$0.86,11972680,$0.8976,$0.8998,$0.8501
12/12/2022,$0.8415,19193370,$0.808,$0.9048,$0.77
12/09/2022,$0.7703,17618310,$0.83,$0.8334,$0.7703
12/08/2022,$0.8252,17894770,$0.8299,$0.8769,$0.81
12/07/2022,$0.8105,24191050,$0.88,$0.93,$0.801
12/06/2022,$0.8898,18485590,$0.9513,$0.954,$0.8801
12/05/2022,$0.9513,20868730,$1.01,$1.02,$0.935
12/02/2022,$0.9955,20113760,$0.9815,$1.01,$0.98
12/01/2022,$0.9822,86669120,$1.03,$1.13,$0.9771
11/30/2022,$0.9718,88082580,$1.05,$1.06,$0.9
11/29/2022,$1.05,22368600,$1.15,$1.15,$1.05
11/28/2022,$1.14,21086320,$1.18,$1.19,$1.09
11/25/2022,$1.22,6557187,$1.2,$1.23,$1.18
11/23/2022,$1.21,46832810,$1.27,$1.27,$1.12
11/22/2022,$1.26,13328440,$1.29,$1.29,$1.23
11/21/2022,$1.27,10993090,$1.34,$1.38,$1.24
11/18/2022,$1.38,10839340,$1.38,$1.41,$1.33
11/17/2022,$1.36,9103314,$1.29,$1.36,$1.27
11/16/2022,$1.32,16388270,$1.4,$1.41,$1.28
11/15/2022,$1.43,23791900,$1.49,$1.52,$1.4
11/14/2022,$1.43,29925550,$1.72,$1.8,$1.41
11/11/2022,$1.61,30058570,$1.37,$1.685,$1.35
11/10/2022,$1.4,27710770,$1.36,$1.48,$1.3
11/09/2022,$1.3,25559690,$1.49,$1.505,$1.25
11/08/2022,$1.6,18399790,$1.53,$1.62,$1.47
11/07/2022,$1.51,15436120,$1.57,$1.57,$1.41
11/04/2022,$1.57,18917340,$1.7,$1.7,$1.52
11/03/2022,$1.63,10629770,$1.71,$1.74,$1.6
11/02/2022,$1.71,20163050,$1.86,$1.92,$1.7
11/01/2022,$1.89,16917540,$2.08,$2.1212,$1.85
10/31/2022,$2.05,19489620,$2.18,$2.35,$2.04
10/28/2022,$2.1,11881160,$2.12,$2.17,$2.03
10/27/2022,$2.15,15271340,$2.21,$2.2524,$1.99
10/26/2022,$2.16,27501710,$2.55,$2.59,$2.11
10/25/2022,$2.6,22165790,$2.46,$2.8,$2.42
10/24/2022,$2.45,16616590,$2.81,$2.81,$2.4
10/21/2022,$2.67,29188710,$2.63,$2.765,$2.42
10/20/2022,$2.43,22344400,$2.06,$2.44,$2.03
10/19/2022,$2.06,11517100,$2.03,$2.08,$1.9
10/18/2022,$2.1,19886240,$2.03,$2.22,$1.94
10/17/2022,$1.9,13182900,$1.78,$1.95,$1.73
10/14/2022,$1.7,12535700,$1.88,$1.9,$1.67
10/13/2022,$1.82,18506570,$1.57,$1.85,$1.48
10/12/2022,$1.64,25515660,$1.77,$1.97,$1.58
10/11/2022,$1.76,11692560,$1.89,$1.89,$1.7
10/10/2022,$1.86,11207270,$2.02,$2.09,$1.83
10/07/2022,$1.99,11684200,$2.22,$2.22,$1.95
10/06/2022,$2.24,14340680,$2.47,$2.55,$2.24
10/05/2022,$2.45,10511260,$2.64,$2.67,$2.45
10/04/2022,$2.74,22114210,$2.51,$2.8,$2.48
10/03/2022,$2.44,12974070,$2.6,$2.63,$2.41
09/30/2022,$2.71,10915040,$2.9,$2.96,$2.7
09/29/2022,$2.9,13999770,$3.29,$3.31,$2.89
09/28/2022,$3.37,13197130,$3.33,$3.48,$3.2
09/27/2022,$3.38,13983460,$3.6,$3.77,$3.35
09/26/2022,$3.37,29813310,$3.12,$4.03,$3.1
09/23/2022,$3.58,10470490,$3.4,$3.8,$3.36
09/22/2022,$3.58,15194220,$3.92,$3.95,$3.41
09/21/2022,$3.98,9047897,$4.22,$4.27,$3.94
09/20/2022,$4.23,8218870,$4.6,$4.74,$4.22
