Date,Close/Last,Volume,Open,High,Low
01/27/2023,$355.17,463484,$354.25,$358.245,$352.69
01/26/2023,$354.04,759047,$353.41,$360.735,$351.11
01/25/2023,$350.64,605597,$336,$351,$335.74
01/24/2023,$339.34,574299,$342.79,$343.53,$334.39
01/23/2023,$345.45,614588,$345.4,$347.49,$337.65
01/20/2023,$348.04,577177,$350.91,$350.91,$342.1
01/19/2023,$348.85,851961,$345.77,$354.49,$345.74
01/18/2023,$346.48,720467,$347.61,$350.92,$344.33
01/17/2023,$344.19,685542,$345,$350.87,$342.03
01/13/2023,$337.44,1104304,$331.99,$337.8267,$323.22
01/12/2023,$337.62,760200,$350.72,$351.01,$336.8345
01/11/2023,$349.85,679583,$342.61,$349.97,$341.83
01/10/2023,$339.73,649474,$331.85,$340.84,$330.67
01/09/2023,$333.88,631971,$345,$349.78,$333.02
01/06/2023,$342.62,499018,$338.77,$343.16,$334.75
01/05/2023,$338.83,475730,$341,$341,$335.02
01/04/2023,$344.39,578237,$343.09,$345.545,$339.51
01/03/2023,$339.27,580035,$350.88,$350.88,$333.62
12/30/2022,$346.4,288097,$346.84,$346.84,$341.55
12/29/2022,$349.8,273825,$346.4,$353.21,$345.02
12/28/2022,$344.41,306873,$354.32,$355.74,$344.38
12/27/2022,$354.4,303032,$352.05,$354.94,$347.48
12/23/2022,$353.02,325518,$351.35,$354.34,$347
12/22/2022,$352.21,350552,$355.84,$355.84,$343.92
12/21/2022,$358.33,392112,$355.11,$360.29,$355.055
12/20/2022,$353.73,354254,$355.97,$355.99,$349.81
12/19/2022,$356.33,392568,$358.25,$360.72,$354.81
12/16/2022,$357.23,854411,$354.09,$361.69,$351.24
12/15/2022,$356.99,649474,$365.05,$365.05,$351.48
12/14/2022,$366.74,654113,$360,$369.175,$358.19
12/13/2022,$361.87,689182,$371.63,$374.11,$361.64
12/12/2022,$363.35,541948,$363.3,$364.59,$358.57
12/09/2022,$362.65,562394,$372.74,$378.635,$362.51
12/08/2022,$374.94,449776,$373.46,$375.55,$368.63
12/07/2022,$372.14,364584,$368.64,$373.59,$366.6701
12/06/2022,$369.36,624149,$378.74,$379,$363.73
12/05/2022,$381.26,573376,$387.45,$387.595,$378.155
12/02/2022,$382.76,393750,$381.1,$385.04,$379.38
12/01/2022,$385.58,371094,$391.22,$392.04,$384.85
11/30/2022,$388.73,890290,$383.05,$391,$377.08
11/29/2022,$383.06,385404,$381.41,$384.4882,$378.46
11/28/2022,$382.29,376029,$388.94,$391.53,$381.77
11/25/2022,$389.06,184942,$392.56,$395,$387.31
11/23/2022,$391.74,486602,$378.86,$392,$378.53
11/22/2022,$376.07,349619,$375.84,$377.83,$372.5
11/21/2022,$377.83,690895,$368.58,$379.57,$368.58
11/18/2022,$367.89,791719,$374.19,$381.8,$365.06
11/17/2022,$366.73,429166,$359.85,$366.81,$355.73
11/16/2022,$364.47,467938,$368.64,$376.59,$361.92
11/15/2022,$366.74,597324,$372.43,$375.53,$365.73
11/14/2022,$370.23,772984,$365.71,$378.04,$363.91
11/11/2022,$366.52,698379,$357.4,$370.72,$356.67
