Date,Close/Last,Volume,Open,High,Low
01/27/2023,$177.9,306590600,$162.43,$180.68,$161.17
01/26/2023,$160.27,234815100,$159.965,$161.42,$154.76
01/25/2023,$144.43,192734300,$141.905,$146.41,$138.07
01/24/2023,$143.89,158699100,$143,$146.5,$141.1
01/23/2023,$143.75,203119200,$135.87,$145.3793,$134.27
01/20/2023,$133.42,138858100,$128.68,$133.51,$127.3466
01/19/2023,$127.17,170291900,$127.26,$129.99,$124.3082
01/18/2023,$128.78,195680300,$136.555,$136.68,$127.01
01/17/2023,$131.49,186477000,$125.695,$131.7,$125.02
01/13/2023,$122.4,180714100,$116.55,$122.63,$115.6
01/12/2023,$123.56,169400900,$122.56,$124.1311,$117
01/11/2023,$123.22,183810800,$122.09,$125.95,$120.51
01/10/2023,$118.85,167642500,$121.07,$122.76,$114.92
01/09/2023,$119.77,190284000,$118.96,$123.52,$117.11
01/06/2023,$113.06,220911100,$103,$114.39,$101.81
01/05/2023,$110.34,157986300,$110.51,$111.75,$107.1601
01/04/2023,$113.64,180389000,$109.11,$114.59,$107.52
01/03/2023,$108.1,231402800,$118.47,$118.8,$104.64
12/30/2022,$123.18,157777300,$119.95,$124.48,$119.75
12/29/2022,$121.82,221923300,$120.385,$123.57,$117.495
12/28/2022,$112.71,221070500,$110.35,$116.27,$108.24
