Date,Close/Last,Volume,Open,High,Low
01/27/2023,$14.91,21010480,$14.895,$15.1,$14.65
01/26/2023,$15,30614210,$14.72,$15.19,$14.42
01/25/2023,$14.53,44313510,$13.26,$14.73,$13.18
01/24/2023,$13.38,11424220,$13.37,$13.6,$13.24
01/23/2023,$13.51,21618200,$13.02,$13.53,$12.95
01/20/2023,$13.02,18431120,$12.54,$13.04,$12.355
01/19/2023,$12.47,20111350,$12.45,$12.56,$11.9101
01/18/2023,$12.59,21307850,$13.23,$13.25,$12.485
01/17/2023,$13.23,18142560,$13.06,$13.33,$12.83
01/13/2023,$13.14,16146590,$12.96,$13.16,$12.905
01/12/2023,$13.15,28005770,$12.78,$13.28,$12.5
01/11/2023,$12.6,30814080,$12.88,$12.95,$12.375
01/10/2023,$12.56,43263530,$11.8,$12.58,$11.77
01/09/2023,$11.61,25383830,$11.39,$11.71,$11.23
01/06/2023,$11.32,29842640,$10.88,$11.39,$10.73
01/05/2023,$10.86,33761610,$10.38,$11.05,$10.12
01/04/2023,$10.38,34435940,$9.79,$10.61,$9.555
01/03/2023,$9.54,25186060,$9.65,$9.94,$9.49
12/30/2022,$9.48,22808750,$9.21,$9.5,$9.18
12/29/2022,$9.43,29740720,$9.01,$9.57,$8.94
12/28/2022,$8.87,22506060,$9.17,$9.3,$8.84
12/27/2022,$9.23,22207680,$9.06,$9.265,$8.85
12/23/2022,$9.17,19035140,$9.19,$9.38,$9.09
12/22/2022,$9.23,28569390,$9,$9.24,$8.82
12/21/2022,$9.04,25650720,$9.06,$9.38,$8.91
12/20/2022,$9.03,42837300,$9.18,$9.56,$8.89
12/19/2022,$9.25,42430470,$9.81,$9.88,$9.07
12/16/2022,$9.91,158082500,$9.97,$10.1,$9.6
12/15/2022,$10,47972790,$10.655,$10.8,$9.945
12/14/2022,$10.98,35547860,$10.8,$11.23,$10.77
12/13/2022,$10.89,29922770,$11.65,$11.91,$10.78
12/12/2022,$11.27,50053930,$11,$11.395,$10.9602
12/09/2022,$11.09,29007300,$10.71,$11.34,$10.67
12/08/2022,$10.76,20565620,$10.78,$11,$10.67
12/07/2022,$10.74,19258180,$10.52,$10.96,$10.34
12/06/2022,$10.61,25893010,$11.31,$11.49,$10.57
12/05/2022,$11.15,15244390,$11.5,$11.635,$11.11
12/02/2022,$11.55,17221620,$11.57,$11.65,$11.37
12/01/2022,$11.63,21848610,$11.4,$11.89,$11.38
11/30/2022,$11.4,26856990,$11.06,$11.52,$10.93
11/29/2022,$11.14,16626090,$10.98,$11.25,$10.86
11/28/2022,$10.92,16278730,$11.27,$11.53,$10.91
11/25/2022,$11.47,10129360,$11.18,$11.59,$11.11
11/23/2022,$11.34,16946250,$10.72,$11.405,$10.72
11/22/2022,$10.8,13273790,$10.5,$10.82,$10.36
11/21/2022,$10.56,18070440,$10.7,$10.78,$10.5
11/18/2022,$10.77,14638780,$11.12,$11.21,$10.65
11/17/2022,$10.96,18070380,$10.7,$11.17,$10.6
11/16/2022,$10.91,26336940,$11.15,$11.175,$10.52
11/15/2022,$11.33,29600460,$11.84,$12.2,$11.18
11/14/2022,$11.49,24372300,$11.75,$12.305,$11.48
11/11/2022,$11.84,48852240,$10.82,$12.36,$10.61
11/10/2022,$10.8,37007000,$10.18,$10.82,$10.15
11/09/2022,$9.84,43663270,$9.86,$9.91,$9.52
11/08/2022,$10.06,36236040,$10.2,$10.47,$9.8
11/07/2022,$10.27,44576700,$10.455,$10.5562,$9.97
11/04/2022,$10.43,60325060,$11.38,$11.76,$10.2
11/03/2022,$11.97,34500330,$12.36,$12.4,$11.635
11/02/2022,$12.68,32132480,$13.03,$13.125,$12.66
11/01/2022,$13.35,22199500,$13.25,$13.83,$13.25
10/31/2022,$13,21383710,$12.78,$13.06,$12.645
10/28/2022,$12.95,19055920,$12.5,$12.97,$12.365
10/27/2022,$12.49,23608530,$13.005,$13.3508,$12.44
10/26/2022,$13,24253940,$13.47,$13.66,$12.83
10/25/2022,$13.57,22539750,$13.01,$13.65,$13.01
10/24/2022,$13.18,20913450,$13.46,$13.59,$13.015
10/21/2022,$13.49,21454510,$12.87,$13.495,$12.835
10/20/2022,$12.92,23298300,$12.66,$13.215,$12.45
10/19/2022,$12.61,19640280,$12.96,$13.19,$12.55
10/18/2022,$12.88,18270310,$12.618,$13.04,$12.55
10/17/2022,$12.32,21358090,$12.57,$12.64,$12.28
10/14/2022,$12.43,20424230,$12.55,$12.84,$12.4
10/13/2022,$12.5,29973160,$11.42,$12.56,$11.25
10/12/2022,$11.66,28771640,$11.48,$11.85,$11.33
10/11/2022,$11.6,25356060,$11.85,$12.03,$11.385
10/10/2022,$12.02,16726490,$12.04,$12.23,$11.81
10/07/2022,$11.98,14331220,$12.38,$12.48,$11.88
10/06/2022,$12.49,17992690,$12.2,$12.54,$12.065
10/05/2022,$12.22,13677310,$12.05,$12.3,$11.86
10/04/2022,$12.36,18674040,$12.08,$12.55,$12.04
10/03/2022,$11.95,17827200,$11.64,$12.03,$11.555
09/30/2022,$11.5,23432220,$11.71,$12.02,$11.48
09/29/2022,$11.66,20033720,$11.53,$11.76,$11.3017
09/28/2022,$11.79,19531390,$11.28,$11.87,$11.2
09/27/2022,$11.32,22208250,$11.52,$12.01,$11.22
09/26/2022,$11.41,24792010,$11.69,$12.045,$11.385
09/23/2022,$11.79,25087530,$11.785,$11.91,$11.51
09/22/2022,$12.01,23521380,$12.24,$12.38,$11.88
09/21/2022,$12.22,25806140,$13.18,$13.2861,$12.22
09/20/2022,$13.21,27526140,$13.06,$13.24,$12.83
09/19/2022,$13.16,23871620,$12.655,$13.36,$12.55
09/16/2022,$12.74,37420170,$13.04,$13.12,$12.63
09/15/2022,$13.17,22447840,$12.57,$13.335,$12.55
09/14/2022,$12.71,23717870,$12.95,$12.98,$12.32
09/13/2022,$12.95,20761350,$12.84,$13.18,$12.745
09/12/2022,$13.31,15804620,$13.18,$13.53,$13.095
09/09/2022,$13.03,22564950,$12.67,$13.09,$12.67
09/08/2022,$12.54,22276140,$12.54,$12.69,$12.23
09/07/2022,$12.68,15815990,$12.5,$12.88,$12.48
09/06/2022,$12.63,25104090,$13.11,$13.11,$12.485
09/02/2022,$13.06,20909580,$13.27,$13.52,$13
09/01/2022,$13.19,25104420,$13.02,$13.22,$12.77
08/31/2022,$13.24,24097590,$13.32,$13.545,$13.2
08/30/2022,$13.29,23844110,$13.36,$13.57,$13.05
08/29/2022,$13.2,18506380,$12.98,$13.47,$12.98
08/26/2022,$13.16,29667530,$13.56,$14.02,$13.13
08/25/2022,$13.56,21340960,$13.48,$13.66,$13.34
08/24/2022,$13.52,27581060,$12.84,$13.59,$12.79
08/23/2022,$12.79,23719250,$12.825,$13.15,$12.702
08/22/2022,$12.71,33567900,$13.48,$13.53,$12.69
08/19/2022,$13.73,24631690,$12.98,$13.75,$12.97
08/18/2022,$13.19,25789240,$13.16,$13.22,$12.86
08/17/2022,$13.26,23289490,$13.44,$13.54,$13.05
08/16/2022,$13.69,33874700,$13.07,$13.88,$12.82
08/15/2022,$13.12,34209840,$13.55,$13.63,$13.0633
08/12/2022,$13.68,22307260,$13.85,$13.86,$13.36
08/11/2022,$13.68,28750270,$13.26,$13.95,$13.2085
08/10/2022,$13.1,31904970,$13.36,$13.58,$13.07
08/09/2022,$13.1,43116050,$13.94,$14,$12.93
08/08/2022,$14.02,40551660,$14.7,$14.72,$13.92
08/05/2022,$14.59,67899750,$14.59,$15.15,$14.415
08/04/2022,$17.48,34395520,$16.51,$17.65,$16.51
08/03/2022,$16.71,21595780,$16.19,$16.85,$15.99
08/02/2022,$16,22877310,$15.43,$16.46,$15.3
08/01/2022,$15.4,22244190,$15.01,$15.735,$14.8
07/29/2022,$15,25702350,$15.35,$15.4,$14.72
07/28/2022,$15.59,18480390,$15,$15.64,$14.805
07/27/2022,$15.15,18763720,$14.56,$15.28,$14.49
07/26/2022,$14.43,12215510,$14.59,$14.65,$14.3
07/25/2022,$14.66,17912150,$14.65,$14.84,$14.34
07/22/2022,$14.65,19650800,$14.4,$14.99,$14.35
07/21/2022,$14.51,11673790,$14.33,$14.515,$14.14
07/20/2022,$14.44,18892280,$14.29,$14.59,$13.94
07/19/2022,$14.25,18864610,$14,$14.33,$13.9598
07/18/2022,$13.88,16229530,$14.03,$14.23,$13.81
07/15/2022,$13.96,17057880,$13.82,$13.99,$13.6
07/14/2022,$13.63,25315520,$13.83,$13.919,$13.43
07/13/2022,$14.18,18002930,$13.755,$14.33,$13.425
07/12/2022,$13.95,12235750,$13.55,$14.09,$13.55
07/11/2022,$13.66,15865040,$13.8,$13.915,$13.553
07/08/2022,$13.99,16060110,$14.32,$14.51,$13.97
07/07/2022,$14.52,15169500,$14.31,$14.7,$14.2
07/06/2022,$14.27,20632540,$14.43,$14.64,$14.12
07/05/2022,$14.44,20360340,$13.95,$14.485,$13.475
07/01/2022,$14.25,23453590,$13.3,$14.3,$13.26
06/30/2022,$13.42,25815660,$13.12,$13.67,$12.765
06/29/2022,$13.17,29669010,$13.64,$13.67,$12.91
06/28/2022,$13.66,24560300,$14.11,$14.68,$13.57
06/27/2022,$14.08,19434590,$14.38,$14.439,$13.88
06/24/2022,$14.28,49763860,$14.25,$14.61,$14.2
06/23/2022,$14.12,14424980,$14.17,$14.185,$13.75
